{X=1, Y=0}
{X=0, Y=0}
{X=8, Y=0}
{X=8, Y=0}
{X=17, Y=0}
{X=16, Y=0}
{X=24, Y=0}
{X=24, Y=0}
{X=32, Y=0}
{X=32, Y=0}
{X=41, Y=8}
{X=40, Y=0}
{X=49, Y=17}
{X=48, Y=0}
{X=57, Y=12}
{X=56, Y=0}
{X=64, Y=8}
{X=64, Y=0}
{X=72, Y=0}
{X=72, Y=0}
{X=80, Y=0}
{X=80, Y=0}
{X=88, Y=0}
{X=88, Y=0}
{X=96, Y=0}
{X=96, Y=0}
{X=104, Y=0}
{X=104, Y=0}
{X=113, Y=0}
{X=112, Y=0}
{X=122, Y=0}
{X=120, Y=0}
{X=128, Y=0}
{X=128, Y=0}
{X=136, Y=0}
{X=136, Y=0}
{X=144, Y=0}
{X=144, Y=0}
{X=152, Y=0}
{X=152, Y=0}
{X=161, Y=0}
{X=160, Y=0}
{X=168, Y=0}
{X=168, Y=0}
{X=226, Y=31}
{X=176, Y=0}
{X=246, Y=45}
{X=184, Y=0}
{X=204, Y=7}
{X=192, Y=0}
{X=221, Y=24}
{X=200, Y=0}
{X=247, Y=28}
{X=208, Y=0}
{X=217, Y=0}
{X=216, Y=0}
{X=225, Y=0}
{X=224, Y=0}
{X=231, Y=0}
{X=232, Y=0}
{X=240, Y=0}
{X=240, Y=0}
{X=232, Y=0}
{X=248, Y=0}
{X=0, Y=8}
{X=0, Y=8}
{X=8, Y=8}
{X=8, Y=8}
{X=16, Y=8}
{X=16, Y=8}
{X=24, Y=8}
{X=24, Y=8}
{X=32, Y=8}
{X=32, Y=8}
{X=39, Y=9}
{X=40, Y=8}
{X=48, Y=6}
{X=48, Y=8}
{X=57, Y=19}
{X=56, Y=8}
{X=64, Y=9}
{X=64, Y=8}
{X=72, Y=8}
{X=72, Y=8}
{X=238, Y=144}
{X=80, Y=8}
{X=80, Y=6}
{X=88, Y=8}
{X=97, Y=8}
{X=96, Y=8}
{X=113, Y=12}
{X=104, Y=8}
{X=120, Y=11}
{X=112, Y=8}
{X=97, Y=2}
{X=120, Y=8}
{X=128, Y=7}
{X=128, Y=8}
{X=136, Y=8}
{X=136, Y=8}
{X=144, Y=8}
{X=144, Y=8}
{X=155, Y=10}
{X=152, Y=8}
{X=229, Y=53}
{X=160, Y=8}
{X=194, Y=15}
{X=168, Y=8}
{X=191, Y=10}
{X=176, Y=8}
{X=185, Y=9}
{X=184, Y=8}
{X=227, Y=39}
{X=192, Y=8}
{X=207, Y=9}
{X=200, Y=8}
{X=243, Y=30}
{X=208, Y=8}
{X=217, Y=5}
{X=216, Y=8}
{X=234, Y=13}
{X=224, Y=8}
{X=236, Y=10}
{X=232, Y=8}
{X=237, Y=14}
{X=240, Y=8}
{X=237, Y=9}
{X=248, Y=8}
{X=0, Y=16}
{X=0, Y=16}
{X=8, Y=15}
{X=8, Y=16}
{X=16, Y=15}
{X=16, Y=16}
{X=24, Y=15}
{X=24, Y=16}
{X=32, Y=15}
{X=32, Y=16}
{X=41, Y=16}
{X=40, Y=16}
{X=48, Y=15}
{X=48, Y=16}
{X=56, Y=14}
{X=56, Y=16}
{X=64, Y=12}
{X=64, Y=16}
{X=72, Y=12}
{X=72, Y=16}
{X=106, Y=14}
{X=80, Y=16}
{X=219, Y=166}
{X=88, Y=16}
{X=239, Y=166}
{X=96, Y=16}
{X=77, Y=19}
{X=104, Y=16}
{X=77, Y=12}
{X=112, Y=16}
{X=120, Y=15}
{X=120, Y=16}
{X=128, Y=16}
{X=128, Y=16}
{X=136, Y=15}
{X=136, Y=16}
{X=144, Y=15}
{X=144, Y=16}
{X=149, Y=13}
{X=152, Y=16}
{X=154, Y=11}
{X=160, Y=16}
{X=181, Y=20}
{X=168, Y=16}
{X=186, Y=17}
{X=176, Y=16}
{X=240, Y=58}
{X=184, Y=16}
{X=229, Y=50}
{X=192, Y=16}
{X=180, Y=8}
{X=200, Y=16}
{X=200, Y=9}
{X=208, Y=16}
{X=227, Y=28}
{X=216, Y=16}
{X=245, Y=21}
{X=224, Y=16}
{X=235, Y=11}
{X=232, Y=16}
{X=243, Y=11}
{X=240, Y=16}
{X=228, Y=7}
{X=248, Y=16}
{X=0, Y=23}
{X=0, Y=24}
{X=8, Y=23}
{X=8, Y=24}
{X=16, Y=23}
{X=16, Y=24}
{X=24, Y=23}
{X=24, Y=24}
{X=32, Y=23}
{X=32, Y=24}
{X=40, Y=23}
{X=40, Y=24}
{X=47, Y=2}
{X=48, Y=24}
{X=56, Y=22}
{X=56, Y=24}
{X=64, Y=40}
{X=64, Y=24}
{X=72, Y=22}
{X=72, Y=24}
{X=16, Y=118}
{X=80, Y=24}
{X=47, Y=182}
{X=88, Y=24}
{X=14, Y=94}
{X=96, Y=24}
{X=11, Y=124}
{X=104, Y=24}
{X=92, Y=32}
{X=112, Y=24}
{X=53, Y=184}
{X=120, Y=24}
{X=130, Y=23}
{X=128, Y=24}
{X=137, Y=23}
{X=136, Y=24}
{X=144, Y=23}
{X=144, Y=24}
{X=154, Y=23}
{X=152, Y=24}
{X=8, Y=27}
{X=160, Y=24}
{X=190, Y=30}
{X=168, Y=24}
{X=178, Y=24}
{X=176, Y=24}
{X=183, Y=23}
{X=184, Y=24}
{X=161, Y=11}
{X=192, Y=24}
{X=178, Y=16}
{X=200, Y=24}
{X=231, Y=51}
{X=208, Y=24}
{X=229, Y=40}
{X=216, Y=24}
{X=214, Y=9}
{X=224, Y=24}
{X=219, Y=3}
{X=232, Y=24}
{X=236, Y=24}
{X=240, Y=24}
{X=218, Y=11}
{X=248, Y=24}
{X=0, Y=31}
{X=0, Y=32}
