{X=237, Y=95}
{X=0, Y=0}
{X=207, Y=95}
{X=8, Y=0}
{X=148, Y=55}
{X=16, Y=0}
{X=31, Y=204}
{X=24, Y=0}
{X=109, Y=94}
{X=32, Y=0}
{X=56, Y=202}
{X=40, Y=0}
{X=142, Y=223}
{X=48, Y=0}
{X=220, Y=52}
{X=56, Y=0}
{X=72, Y=71}
{X=64, Y=0}
{X=125, Y=51}
{X=72, Y=0}
{X=133, Y=56}
{X=80, Y=0}
{X=240, Y=245}
{X=88, Y=0}
{X=229, Y=247}
{X=96, Y=0}
{X=13, Y=34}
{X=104, Y=0}
{X=30, Y=199}
{X=112, Y=0}
{X=15, Y=32}
{X=120, Y=0}
{X=164, Y=48}
{X=128, Y=0}
{X=184, Y=20}
{X=136, Y=0}
{X=41, Y=200}
{X=144, Y=0}
{X=221, Y=238}
{X=152, Y=0}
{X=44, Y=199}
{X=160, Y=0}
{X=236, Y=97}
{X=168, Y=0}
{X=22, Y=201}
{X=176, Y=0}
{X=186, Y=95}
{X=184, Y=0}
{X=23, Y=195}
{X=192, Y=0}
{X=123, Y=108}
{X=200, Y=0}
{X=189, Y=86}
{X=208, Y=0}
{X=162, Y=243}
{X=216, Y=0}
{X=101, Y=212}
{X=224, Y=0}
{X=152, Y=52}
{X=232, Y=0}
{X=63, Y=202}
{X=240, Y=0}
{X=28, Y=194}
{X=248, Y=0}
{X=236, Y=95}
{X=0, Y=8}
{X=183, Y=97}
{X=8, Y=8}
{X=152, Y=58}
{X=16, Y=8}
{X=117, Y=73}
{X=24, Y=8}
{X=172, Y=75}
{X=32, Y=8}
{X=242, Y=96}
{X=40, Y=8}
{X=216, Y=96}
{X=48, Y=8}
{X=10, Y=40}
{X=56, Y=8}
{X=143, Y=48}
{X=64, Y=8}
{X=17, Y=37}
{X=72, Y=8}
{X=29, Y=192}
{X=80, Y=8}
{X=141, Y=44}
{X=88, Y=8}
{X=15, Y=35}
{X=96, Y=8}
{X=26, Y=6}
{X=104, Y=8}
{X=212, Y=52}
{X=112, Y=8}
{X=72, Y=202}
{X=120, Y=8}
{X=138, Y=74}
{X=128, Y=8}
{X=114, Y=138}
{X=136, Y=8}
{X=176, Y=90}
{X=144, Y=8}
{X=232, Y=238}
{X=152, Y=8}
{X=183, Y=83}
{X=160, Y=8}
{X=150, Y=53}
{X=168, Y=8}
{X=181, Y=85}
{X=176, Y=8}
{X=191, Y=237}
{X=184, Y=8}
{X=217, Y=82}
{X=192, Y=8}
{X=181, Y=79}
{X=200, Y=8}
{X=111, Y=92}
{X=208, Y=8}
{X=0, Y=92}
{X=216, Y=8}
{X=41, Y=231}
{X=224, Y=8}
{X=125, Y=103}
{X=232, Y=8}
{X=169, Y=104}
{X=240, Y=8}
{X=217, Y=92}
{X=248, Y=8}
{X=15, Y=37}
{X=0, Y=16}
{X=15, Y=33}
{X=8, Y=16}
{X=17, Y=197}
{X=16, Y=16}
{X=23, Y=202}
{X=24, Y=16}
{X=8, Y=42}
{X=32, Y=16}
{X=239, Y=97}
{X=40, Y=16}
{X=232, Y=96}
{X=48, Y=16}
{X=229, Y=96}
{X=56, Y=16}
{X=16, Y=38}
{X=64, Y=16}
{X=20, Y=39}
{X=72, Y=16}
{X=138, Y=37}
{X=80, Y=16}
{X=19, Y=39}
{X=88, Y=16}
{X=19, Y=39}
{X=96, Y=16}
{X=20, Y=40}
{X=104, Y=16}
{X=234, Y=97}
{X=112, Y=16}
{X=238, Y=244}
{X=120, Y=16}
{X=113, Y=40}
{X=128, Y=16}
{X=125, Y=54}
{X=136, Y=16}
{X=20, Y=44}
{X=144, Y=16}
{X=219, Y=21}
{X=152, Y=16}
{X=31, Y=203}
{X=160, Y=16}
{X=235, Y=238}
{X=168, Y=16}
{X=226, Y=247}
{X=176, Y=16}
{X=223, Y=90}
{X=184, Y=16}
{X=231, Y=92}
{X=192, Y=16}
{X=20, Y=46}
{X=200, Y=16}
{X=21, Y=36}
{X=208, Y=16}
{X=21, Y=40}
{X=216, Y=16}
{X=122, Y=44}
{X=224, Y=16}
{X=172, Y=74}
{X=232, Y=16}
{X=221, Y=86}
{X=240, Y=16}
{X=22, Y=216}
{X=248, Y=16}
{X=95, Y=136}
{X=0, Y=24}
{X=112, Y=42}
{X=8, Y=24}
{X=134, Y=49}
{X=16, Y=24}
{X=239, Y=246}
{X=24, Y=24}
{X=215, Y=52}
{X=32, Y=24}
{X=140, Y=39}
{X=40, Y=24}
{X=111, Y=40}
{X=48, Y=24}
{X=96, Y=135}
{X=56, Y=24}
{X=147, Y=46}
{X=64, Y=24}
{X=141, Y=45}
{X=72, Y=24}
{X=22, Y=36}
{X=80, Y=24}
{X=28, Y=7}
{X=88, Y=24}
{X=91, Y=137}
{X=96, Y=24}
{X=111, Y=40}
{X=104, Y=24}
{X=91, Y=136}
{X=112, Y=24}
{X=141, Y=23}
{X=120, Y=24}
{X=213, Y=56}
{X=128, Y=24}
{X=135, Y=52}
{X=136, Y=24}
{X=117, Y=37}
{X=144, Y=24}
{X=208, Y=59}
{X=152, Y=24}
{X=113, Y=38}
{X=160, Y=24}
{X=210, Y=15}
{X=168, Y=24}
{X=209, Y=95}
{X=176, Y=24}
{X=165, Y=103}
{X=184, Y=24}
{X=154, Y=102}
{X=192, Y=24}
{X=130, Y=91}
{X=200, Y=24}
{X=21, Y=187}
{X=208, Y=24}
{X=107, Y=59}
{X=216, Y=24}
{X=6, Y=41}
{X=224, Y=24}
{X=8, Y=41}
{X=232, Y=24}
{X=247, Y=22}
{X=240, Y=24}
{X=234, Y=92}
{X=248, Y=24}
{X=99, Y=57}
{X=0, Y=32}
{X=136, Y=43}
{X=8, Y=32}
{X=142, Y=47}
{X=16, Y=32}
{X=126, Y=49}
{X=24, Y=32}
{X=109, Y=53}
{X=32, Y=32}
{X=110, Y=48}
{X=40, Y=32}
{X=107, Y=49}
{X=48, Y=32}
{X=89, Y=57}
{X=56, Y=32}
{X=216, Y=0}
{X=64, Y=32}
{X=187, Y=208}
{X=72, Y=32}
{X=157, Y=204}
{X=80, Y=32}
{X=123, Y=59}
{X=88, Y=32}
{X=91, Y=135}
{X=96, Y=32}
